Indicator,Year,County,State,FIPS,Rate,Cases,Population
HIV diagnoses,2014,Carroll County ,Tennessee,47017,Data suppressed,Data suppressed,"23,886"
HIV diagnoses,2014,Carter County ,Tennessee,47019,Data suppressed,Data suppressed,"48,746"
HIV diagnoses,2014,Charles Mix County ,South Dakota,46023,Data suppressed,Data suppressed,"7,233"
HIV diagnoses,2014,Cheatham County ,Tennessee,47021,33.1,11,"33,234"
HIV diagnoses,2014,Chester County ,Tennessee,47023,Data suppressed,Data suppressed,"14,773"
HIV diagnoses,2014,Claiborne County ,Tennessee,47025,Data suppressed,Data suppressed,"27,336"
HIV diagnoses,2014,Clark County ,South Dakota,46025,Data suppressed,Data suppressed,"2,996"
HIV diagnoses,2014,Clay County ,South Dakota,46027,Data suppressed,Data suppressed,"12,110"
HIV diagnoses,2014,Clay County ,Tennessee,47027,Data suppressed,Data suppressed,"6,611"
HIV diagnoses,2014,Cocke County ,Tennessee,47029,Data suppressed,Data suppressed,"30,125"
HIV diagnoses,2014,Codington County ,South Dakota,46029,Data suppressed,Data suppressed,"22,935"
HIV diagnoses,2014,Coffee County ,Tennessee,47031,Data suppressed,Data suppressed,"44,508"
HIV diagnoses,2014,Corson County ,South Dakota,46031,Data suppressed,Data suppressed,"3,123"
HIV diagnoses,2014,Crockett County ,Tennessee,47033,Data suppressed,Data suppressed,"12,150"
HIV diagnoses,2014,Cumberland County ,Tennessee,47035,Data suppressed,Data suppressed,"50,492"
HIV diagnoses,2014,Custer County ,South Dakota,46033,Data suppressed,Data suppressed,"7,525"
HIV diagnoses,2014,Davidson County ,Tennessee,47037,27.5,154,"559,157"
HIV diagnoses,2014,Davison County ,South Dakota,46035,Data suppressed,Data suppressed,"16,522"
HIV diagnoses,2014,Day County ,South Dakota,46037,Data suppressed,Data suppressed,"4,711"
HIV diagnoses,2014,Decatur County ,Tennessee,47039,Data suppressed,Data suppressed,"10,013"
HIV diagnoses,2014,Dekalb County ,Tennessee,47041,Data suppressed,Data suppressed,"16,127"
HIV diagnoses,2014,Deuel County ,South Dakota,46039,Data suppressed,Data suppressed,"3,609"
HIV diagnoses,2014,Dewey County ,South Dakota,46041,Data suppressed,Data suppressed,"4,165"
HIV diagnoses,2014,Dickson County ,Tennessee,47043,Data suppressed,Data suppressed,"42,221"
HIV diagnoses,2014,Douglas County ,South Dakota,46043,Data suppressed,Data suppressed,"2,474"
HIV diagnoses,2014,Dyer County ,Tennessee,47045,Data suppressed,Data suppressed,"31,391"
HIV diagnoses,2014,Edmunds County ,South Dakota,46045,Data suppressed,Data suppressed,"3,350"
HIV diagnoses,2014,Fall River County ,South Dakota,46047,Data suppressed,Data suppressed,"6,049"
HIV diagnoses,2014,Faulk County ,South Dakota,46049,Data suppressed,Data suppressed,"1,964"
HIV diagnoses,2014,Fayette County ,Tennessee,47047,24,8,"33,297"
HIV diagnoses,2014,Fentress County ,Tennessee,47049,Data suppressed,Data suppressed,"15,232"
HIV diagnoses,2014,Franklin County ,Tennessee,47051,Data suppressed,Data suppressed,"35,466"
HIV diagnoses,2014,Gibson County ,Tennessee,47053,Data suppressed,Data suppressed,"40,990"
HIV diagnoses,2014,Giles County ,Tennessee,47055,Data suppressed,Data suppressed,"24,544"
HIV diagnoses,2014,Grainger County ,Tennessee,47057,Data suppressed,Data suppressed,"19,456"
HIV diagnoses,2014,Grant County ,South Dakota,46051,Data suppressed,Data suppressed,"6,080"
HIV diagnoses,2014,Greene County ,Tennessee,47059,Data suppressed,Data suppressed,"58,921"
HIV diagnoses,2014,Gregory County ,South Dakota,46053,Data suppressed,Data suppressed,"3,525"
HIV diagnoses,2014,Grundy County ,Tennessee,47061,Data suppressed,Data suppressed,"11,395"
HIV diagnoses,2014,Haakon County ,South Dakota,46055,Data suppressed,Data suppressed,"1,548"
HIV diagnoses,2014,Hamblen County ,Tennessee,47063,Data suppressed,Data suppressed,"52,501"
HIV diagnoses,2014,Hamilton County ,Tennessee,47065,16.5,49,"296,940"
HIV diagnoses,2014,Hamlin County ,South Dakota,46057,Data suppressed,Data suppressed,"4,588"
HIV diagnoses,2014,Hancock County ,Tennessee,47067,Data suppressed,Data suppressed,"5,642"
HIV diagnoses,2014,Hand County ,South Dakota,46059,Data suppressed,Data suppressed,"2,847"
HIV diagnoses,2014,Hanson County ,South Dakota,46061,Data suppressed,Data suppressed,"2,580"
HIV diagnoses,2014,Hardeman County ,Tennessee,47069,Data suppressed,Data suppressed,"22,306"
HIV diagnoses,2014,Hardin County ,Tennessee,47071,Data suppressed,Data suppressed,"22,094"
HIV diagnoses,2014,Harding County ,South Dakota,46063,Data suppressed,Data suppressed,"1,054"
HIV diagnoses,2014,Hawkins County ,Tennessee,47073,Data suppressed,Data suppressed,"48,362"
HIV diagnoses,2014,Haywood County ,Tennessee,47075,Data suppressed,Data suppressed,"15,159"
HIV diagnoses,2014,Henderson County ,Tennessee,47077,Data suppressed,Data suppressed,"23,371"
HIV diagnoses,2014,Henry County ,Tennessee,47079,Data suppressed,Data suppressed,"27,465"
HIV diagnoses,2014,Hickman County ,Tennessee,47081,Data suppressed,Data suppressed,"20,703"
HIV diagnoses,2014,Houston County ,Tennessee,47083,Data suppressed,Data suppressed,"7,027"
HIV diagnoses,2014,Hughes County ,South Dakota,46065,Data suppressed,Data suppressed,"14,526"
HIV diagnoses,2014,Humphreys County ,Tennessee,47085,Data suppressed,Data suppressed,"15,364"
HIV diagnoses,2014,Hutchinson County ,South Dakota,46067,Data suppressed,Data suppressed,"6,016"
HIV diagnoses,2014,Hyde County ,South Dakota,46069,Data suppressed,Data suppressed,"1,184"
HIV diagnoses,2014,Jackson County ,South Dakota,46071,Data suppressed,Data suppressed,"2,462"
HIV diagnoses,2014,Jackson County ,Tennessee,47087,Data suppressed,Data suppressed,"10,003"
HIV diagnoses,2014,Jefferson County ,Tennessee,47089,Data suppressed,Data suppressed,"45,085"
HIV diagnoses,2014,Jerauld County ,South Dakota,46073,Data suppressed,Data suppressed,"1,640"
HIV diagnoses,2014,Johnson County ,Tennessee,47091,Data suppressed,Data suppressed,"15,704"
HIV diagnoses,2014,Jones County ,South Dakota,46075,Data suppressed,Data suppressed,817
HIV diagnoses,2014,Kent County ,Rhode Island,44003,4.9,7,"142,859"
HIV diagnoses,2014,Kingsbury County ,South Dakota,46077,Data suppressed,Data suppressed,"4,267"
HIV diagnoses,2014,Knox County ,Tennessee,47093,9.5,36,"379,797"
HIV diagnoses,2014,Lake County ,South Dakota,46079,Data suppressed,Data suppressed,"10,566"
HIV diagnoses,2014,Lake County ,Tennessee,47095,Data suppressed,Data suppressed,"6,815"
HIV diagnoses,2014,Lauderdale County ,Tennessee,47097,Data suppressed,Data suppressed,"22,893"
HIV diagnoses,2014,Lawrence County ,South Dakota,46081,Data suppressed,Data suppressed,"21,462"
HIV diagnoses,2014,Lawrence County ,Tennessee,47099,Data suppressed,Data suppressed,"34,735"
HIV diagnoses,2014,Lewis County ,Tennessee,47101,Data suppressed,Data suppressed,"10,046"
HIV diagnoses,2014,Lincoln County ,South Dakota,46083,Data suppressed,Data suppressed,"40,170"
HIV diagnoses,2014,Lincoln County ,Tennessee,47103,Data suppressed,Data suppressed,"28,291"
HIV diagnoses,2014,Loudon County ,Tennessee,47105,Data suppressed,Data suppressed,"43,619"
HIV diagnoses,2014,Lyman County ,South Dakota,46085,Data suppressed,Data suppressed,"3,046"
HIV diagnoses,2014,Macon County ,Tennessee,47111,Data suppressed,Data suppressed,"18,975"
HIV diagnoses,2014,Madison County ,Tennessee,47113,22,18,"81,741"
HIV diagnoses,2014,Marion County ,Tennessee,47115,Data suppressed,Data suppressed,"24,194"
HIV diagnoses,2014,Marshall County ,South Dakota,46091,Data suppressed,Data suppressed,"3,966"
HIV diagnoses,2014,Marshall County ,Tennessee,47117,Data suppressed,Data suppressed,"26,132"
HIV diagnoses,2014,Maury County ,Tennessee,47119,9.9,7,"70,829"
HIV diagnoses,2014,Mccook County ,South Dakota,46087,Data suppressed,Data suppressed,"4,543"
HIV diagnoses,2014,Mcminn County ,Tennessee,47107,Data suppressed,Data suppressed,"44,681"
HIV diagnoses,2014,Mcnairy County ,Tennessee,47109,Data suppressed,Data suppressed,"22,044"
HIV diagnoses,2014,Mcpherson County ,South Dakota,46089,Data suppressed,Data suppressed,"2,047"
HIV diagnoses,2014,Meade County ,South Dakota,46093,Data suppressed,Data suppressed,"22,161"
HIV diagnoses,2014,Meigs County ,Tennessee,47121,Data suppressed,Data suppressed,"10,071"
HIV diagnoses,2014,Mellette County ,South Dakota,46095,Data suppressed,Data suppressed,"1,613"
HIV diagnoses,2014,Miner County ,South Dakota,46097,Data suppressed,Data suppressed,"1,920"
HIV diagnoses,2014,Minnehaha County ,South Dakota,46099,Data suppressed,Data suppressed,"148,564"
HIV diagnoses,2014,Monroe County ,Tennessee,47123,Data suppressed,Data suppressed,"38,388"
HIV diagnoses,2014,Montgomery County ,Tennessee,47125,13.9,21,"150,907"
HIV diagnoses,2014,Moody County ,South Dakota,46101,Data suppressed,Data suppressed,"5,204"
HIV diagnoses,2014,Moore County ,Tennessee,47127,Data suppressed,Data suppressed,"5,487"
HIV diagnoses,2014,Morgan County ,Tennessee,47129,Data suppressed,Data suppressed,"18,828"
HIV diagnoses,2014,Newport County ,Rhode Island,44005,Data suppressed,Data suppressed,"71,910"
HIV diagnoses,2014,Obion County ,Tennessee,47131,Data suppressed,Data suppressed,"26,162"
HIV diagnoses,2014,Overton County ,Tennessee,47133,Data suppressed,Data suppressed,"18,546"
HIV diagnoses,2014,Pennington County ,South Dakota,46103,Data suppressed,Data suppressed,"89,086"
HIV diagnoses,2014,Perkins County ,South Dakota,46105,Data suppressed,Data suppressed,"2,591"
HIV diagnoses,2014,Perry County ,Tennessee,47135,Data suppressed,Data suppressed,"6,628"
HIV diagnoses,2014,Pickett County ,Tennessee,47137,Data suppressed,Data suppressed,"4,442"
HIV diagnoses,2014,Polk County ,Tennessee,47139,Data suppressed,Data suppressed,"14,366"
HIV diagnoses,2014,Potter County ,South Dakota,46107,Data suppressed,Data suppressed,"1,981"
HIV diagnoses,2014,Providence County ,Rhode Island,44007,15.3,82,"537,059"
HIV diagnoses,2014,Putnam County ,Tennessee,47141,7.9,5,"63,111"
HIV diagnoses,2014,Rhea County ,Tennessee,47143,Data suppressed,Data suppressed,"27,338"
HIV diagnoses,2014,Roane County ,Tennessee,47145,Data suppressed,Data suppressed,"45,674"
HIV diagnoses,2014,Roberts County ,South Dakota,46109,Data suppressed,Data suppressed,"8,172"
HIV diagnoses,2014,Robertson County ,Tennessee,47147,Data suppressed,Data suppressed,"55,896"
HIV diagnoses,2014,Rutherford County ,Tennessee,47149,8.9,21,"237,027"
HIV diagnoses,2014,Sanborn County ,South Dakota,46111,Data suppressed,Data suppressed,"1,952"
HIV diagnoses,2014,Scott County ,Tennessee,47151,Data suppressed,Data suppressed,"18,157"
HIV diagnoses,2014,Sequatchie County ,Tennessee,47153,Data suppressed,Data suppressed,"12,447"
HIV diagnoses,2014,Sevier County ,Tennessee,47155,Data suppressed,Data suppressed,"80,701"
HIV diagnoses,2014,Shannon County ,South Dakota,46113,Data suppressed,Data suppressed,"10,144"
HIV diagnoses,2014,Shelby County ,Tennessee,47157,36.4,279,"765,768"
HIV diagnoses,2014,Smith County ,Tennessee,47159,Data suppressed,Data suppressed,"15,884"
HIV diagnoses,2014,Spink County ,South Dakota,46115,Data suppressed,Data suppressed,"5,481"
HIV diagnoses,2014,Stanley County ,South Dakota,46117,Data suppressed,Data suppressed,"2,460"
HIV diagnoses,2014,Stewart County ,Tennessee,47161,Data suppressed,Data suppressed,"11,333"
HIV diagnoses,2014,Sullivan County ,Tennessee,47163,4.4,6,"135,036"
HIV diagnoses,2014,Sully County ,South Dakota,46119,Data suppressed,Data suppressed,"1,204"
HIV diagnoses,2014,Sumner County ,Tennessee,47165,6.3,9,"143,332"
HIV diagnoses,2014,Tipton County ,Tennessee,47167,Data suppressed,Data suppressed,"50,903"
HIV diagnoses,2014,Todd County ,South Dakota,46121,Data suppressed,Data suppressed,"6,865"
HIV diagnoses,2014,Tripp County ,South Dakota,46123,Data suppressed,Data suppressed,"4,623"
HIV diagnoses,2014,Trousdale County ,Tennessee,47169,Data suppressed,Data suppressed,"6,714"
HIV diagnoses,2014,Turner County ,South Dakota,46125,Data suppressed,Data suppressed,"6,875"
HIV diagnoses,2014,Unicoi County ,Tennessee,47171,Data suppressed,Data suppressed,"15,562"
HIV diagnoses,2014,Union County ,South Dakota,46127,Data suppressed,Data suppressed,"12,370"
HIV diagnoses,2014,Union County ,Tennessee,47173,Data suppressed,Data suppressed,"15,891"
HIV diagnoses,2014,Van Buren County ,Tennessee,47175,Data suppressed,Data suppressed,"4,870"
HIV diagnoses,2014,Walworth County ,South Dakota,46129,Data suppressed,Data suppressed,"4,615"
HIV diagnoses,2014,Warren County ,Tennessee,47177,Data suppressed,Data suppressed,"33,238"
HIV diagnoses,2014,Washington County ,Rhode Island,44009,Data suppressed,Data suppressed,"111,343"
HIV diagnoses,2014,Washington County ,Tennessee,47179,12.9,14,"108,225"
HIV diagnoses,2014,Wayne County ,Tennessee,47181,Data suppressed,Data suppressed,"14,772"
HIV diagnoses,2014,Weakley County ,Tennessee,47183,Data suppressed,Data suppressed,"29,437"
HIV diagnoses,2014,White County ,Tennessee,47185,Data suppressed,Data suppressed,"22,218"
HIV diagnoses,2014,Williamson County ,Tennessee,47187,3,5,"165,965"
HIV diagnoses,2014,Wilson County ,Tennessee,47189,Data suppressed,Data suppressed,"104,138"
HIV diagnoses,2014,Yankton County ,South Dakota,46135,Data suppressed,Data suppressed,"19,278"
HIV diagnoses,2014,Ziebach County ,South Dakota,46137,Data suppressed,Data suppressed,"2,123"
HIV prevalence,2014,Anderson County ,Tennessee,47001,115.2,74,"64,256"
HIV prevalence,2014,Aurora County ,South Dakota,46003,Data suppressed,Data suppressed,null
HIV prevalence,2014,Beadle County ,South Dakota,46005,Data suppressed,Data suppressed,null
HIV prevalence,2014,Bedford County ,Tennessee,47003,124.6,47,"37,714"
HIV prevalence,2014,Bennett County ,South Dakota,46007,Data suppressed,Data suppressed,null
HIV prevalence,2014,Benton County ,Tennessee,47005,93.6,13,"13,885"
HIV prevalence,2014,Bledsoe County ,Tennessee,47007,379.3,49,"12,920"
HIV prevalence,2014,Blount County ,Tennessee,47009,93.8,101,"107,681"
HIV prevalence,2014,Bon Homme County ,South Dakota,46009,Data suppressed,Data suppressed,null
HIV prevalence,2014,Bradley County ,Tennessee,47011,108.3,94,"86,792"
HIV prevalence,2014,Bristol County ,Rhode Island,44001,75.1,32,"42,637"
HIV prevalence,2014,Brookings County ,South Dakota,46011,Data suppressed,Data suppressed,null
HIV prevalence,2014,Brown County ,South Dakota,46013,Data suppressed,Data suppressed,null
HIV prevalence,2014,Brule County ,South Dakota,46015,Data suppressed,Data suppressed,null
HIV prevalence,2014,Buffalo County ,South Dakota,46017,Data suppressed,Data suppressed,null
HIV prevalence,2014,Butte County ,South Dakota,46019,Data suppressed,Data suppressed,null
HIV prevalence,2014,Campbell County ,South Dakota,46021,Data suppressed,Data suppressed,null
HIV prevalence,2014,Campbell County ,Tennessee,47013,41.2,14,"33,976"
HIV prevalence,2014,Cannon County ,Tennessee,47015,214,25,"11,683"
HIV prevalence,2014,Carroll County ,Tennessee,47017,125.6,30,"23,886"
HIV prevalence,2014,Carter County ,Tennessee,47019,88.2,43,"48,746"
HIV prevalence,2014,Charles Mix County ,South Dakota,46023,Data suppressed,Data suppressed,null
HIV prevalence,2014,Cheatham County ,Tennessee,47021,183.5,61,"33,234"
HIV prevalence,2014,Chester County ,Tennessee,47023,54.1,8,"14,773"
HIV prevalence,2014,Claiborne County ,Tennessee,47025,43.9,12,"27,336"
HIV prevalence,2014,Clark County ,South Dakota,46025,Data suppressed,Data suppressed,null
HIV prevalence,2014,Clay County ,South Dakota,46027,Data suppressed,Data suppressed,null
HIV prevalence,2014,Clay County ,Tennessee,47027,136.1,9,"6,611"
HIV prevalence,2014,Cocke County ,Tennessee,47029,66.4,20,"30,125"
HIV prevalence,2014,Codington County ,South Dakota,46029,Data suppressed,Data suppressed,null
HIV prevalence,2014,Coffee County ,Tennessee,47031,78.6,35,"44,508"
HIV prevalence,2014,Corson County ,South Dakota,46031,Data suppressed,Data suppressed,null
HIV prevalence,2014,Crockett County ,Tennessee,47033,115.2,14,"12,150"
HIV prevalence,2014,Cumberland County ,Tennessee,47035,75.3,38,"50,492"
HIV prevalence,2014,Custer County ,South Dakota,46033,Data suppressed,Data suppressed,null
HIV prevalence,2014,Davidson County ,Tennessee,47037,577.1,"3,227","559,157"
HIV prevalence,2014,Davison County ,South Dakota,46035,Data suppressed,Data suppressed,null
HIV prevalence,2014,Day County ,South Dakota,46037,Data suppressed,Data suppressed,null
HIV prevalence,2014,Decatur County ,Tennessee,47039,119.8,12,"10,013"
HIV prevalence,2014,Dekalb County ,Tennessee,47041,192.2,31,"16,127"
HIV prevalence,2014,Deuel County ,South Dakota,46039,Data suppressed,Data suppressed,null
HIV prevalence,2014,Dewey County ,South Dakota,46041,Data suppressed,Data suppressed,null
HIV prevalence,2014,Dickson County ,Tennessee,47043,130.3,55,"42,221"
HIV prevalence,2014,Douglas County ,South Dakota,46043,Data suppressed,Data suppressed,null
HIV prevalence,2014,Dyer County ,Tennessee,47045,95.6,30,"31,391"
HIV prevalence,2014,Edmunds County ,South Dakota,46045,Data suppressed,Data suppressed,null
HIV prevalence,2014,Fall River County ,South Dakota,46047,Data suppressed,Data suppressed,null
HIV prevalence,2014,Faulk County ,South Dakota,46049,Data suppressed,Data suppressed,null
HIV prevalence,2014,Fayette County ,Tennessee,47047,207.2,69,"33,297"
HIV prevalence,2014,Fentress County ,Tennessee,47049,Data suppressed,Data suppressed,null
HIV prevalence,2014,Franklin County ,Tennessee,47051,64.8,23,"35,466"
HIV prevalence,2014,Gibson County ,Tennessee,47053,173.2,71,"40,990"
HIV prevalence,2014,Giles County ,Tennessee,47055,171.1,42,"24,544"
HIV prevalence,2014,Grainger County ,Tennessee,47057,77.1,15,"19,456"
HIV prevalence,2014,Grant County ,South Dakota,46051,Data suppressed,Data suppressed,null
HIV prevalence,2014,Greene County ,Tennessee,47059,79.8,47,"58,921"
HIV prevalence,2014,Gregory County ,South Dakota,46053,Data suppressed,Data suppressed,null
HIV prevalence,2014,Grundy County ,Tennessee,47061,61.4,7,"11,395"
HIV prevalence,2014,Haakon County ,South Dakota,46055,Data suppressed,Data suppressed,null
HIV prevalence,2014,Hamblen County ,Tennessee,47063,74.3,39,"52,501"
HIV prevalence,2014,Hamilton County ,Tennessee,47065,249.5,741,"296,940"
HIV prevalence,2014,Hamlin County ,South Dakota,46057,Data suppressed,Data suppressed,null
HIV prevalence,2014,Hancock County ,Tennessee,47067,Data suppressed,Data suppressed,null
HIV prevalence,2014,Hand County ,South Dakota,46059,Data suppressed,Data suppressed,null
HIV prevalence,2014,Hanson County ,South Dakota,46061,Data suppressed,Data suppressed,null
HIV prevalence,2014,Hardeman County ,Tennessee,47069,165.9,37,"22,306"
HIV prevalence,2014,Hardin County ,Tennessee,47071,95,21,"22,094"
HIV prevalence,2014,Harding County ,South Dakota,46063,Data suppressed,Data suppressed,null
HIV prevalence,2014,Hawkins County ,Tennessee,47073,53.8,26,"48,362"
HIV prevalence,2014,Haywood County ,Tennessee,47075,527.7,80,"15,159"
HIV prevalence,2014,Henderson County ,Tennessee,47077,89.9,21,"23,371"
HIV prevalence,2014,Henry County ,Tennessee,47079,101.9,28,"27,465"
HIV prevalence,2014,Hickman County ,Tennessee,47081,96.6,20,"20,703"
HIV prevalence,2014,Houston County ,Tennessee,47083,Data suppressed,Data suppressed,null
HIV prevalence,2014,Hughes County ,South Dakota,46065,Data suppressed,Data suppressed,null
HIV prevalence,2014,Humphreys County ,Tennessee,47085,84.6,13,"15,364"
HIV prevalence,2014,Hutchinson County ,South Dakota,46067,Data suppressed,Data suppressed,null
HIV prevalence,2014,Hyde County ,South Dakota,46069,Data suppressed,Data suppressed,null
HIV prevalence,2014,Jackson County ,South Dakota,46071,Data suppressed,Data suppressed,null
HIV prevalence,2014,Jackson County ,Tennessee,47087,130,13,"10,003"
HIV prevalence,2014,Jefferson County ,Tennessee,47089,90.9,41,"45,085"
HIV prevalence,2014,Jerauld County ,South Dakota,46073,Data suppressed,Data suppressed,null
HIV prevalence,2014,Johnson County ,Tennessee,47091,152.8,24,"15,704"
HIV prevalence,2014,Jones County ,South Dakota,46075,Data suppressed,Data suppressed,null
HIV prevalence,2014,Kent County ,Rhode Island,44003,89.6,128,"142,859"
HIV prevalence,2014,Kingsbury County ,South Dakota,46077,Data suppressed,Data suppressed,null
HIV prevalence,2014,Knox County ,Tennessee,47093,151.4,575,"379,797"
HIV prevalence,2014,Lake County ,South Dakota,46079,Data suppressed,Data suppressed,null
HIV prevalence,2014,Lake County ,Tennessee,47095,586.9,40,"6,815"
HIV prevalence,2014,Lauderdale County ,Tennessee,47097,340.7,78,"22,893"
HIV prevalence,2014,Lawrence County ,South Dakota,46081,Data suppressed,Data suppressed,null
HIV prevalence,2014,Lawrence County ,Tennessee,47099,83.5,29,"34,735"
HIV prevalence,2014,Lewis County ,Tennessee,47101,59.7,6,"10,046"
HIV prevalence,2014,Lincoln County ,South Dakota,46083,Data suppressed,Data suppressed,null
HIV prevalence,2014,Lincoln County ,Tennessee,47103,88.4,25,"28,291"
HIV prevalence,2014,Loudon County ,Tennessee,47105,75.7,33,"43,619"
HIV prevalence,2014,Lyman County ,South Dakota,46085,Data suppressed,Data suppressed,null
HIV prevalence,2014,Macon County ,Tennessee,47111,36.9,7,"18,975"
HIV prevalence,2014,Madison County ,Tennessee,47113,232.4,190,"81,741"
HIV prevalence,2014,Marion County ,Tennessee,47115,78.5,19,"24,194"
HIV prevalence,2014,Marshall County ,South Dakota,46091,Data suppressed,Data suppressed,null
HIV prevalence,2014,Marshall County ,Tennessee,47117,118.6,31,"26,132"
HIV prevalence,2014,Maury County ,Tennessee,47119,142.6,101,"70,829"
HIV prevalence,2014,Mccook County ,South Dakota,46087,Data suppressed,Data suppressed,null
HIV prevalence,2014,Mcminn County ,Tennessee,47107,109.7,49,"44,681"
HIV prevalence,2014,Mcnairy County ,Tennessee,47109,72.6,16,"22,044"
HIV prevalence,2014,Mcpherson County ,South Dakota,46089,Data suppressed,Data suppressed,null
HIV prevalence,2014,Meade County ,South Dakota,46093,Data suppressed,Data suppressed,null
HIV prevalence,2014,Meigs County ,Tennessee,47121,49.6,5,"10,071"
HIV prevalence,2014,Mellette County ,South Dakota,46095,Data suppressed,Data suppressed,null
HIV prevalence,2014,Miner County ,South Dakota,46097,Data suppressed,Data suppressed,null
HIV prevalence,2014,Minnehaha County ,South Dakota,46099,Data suppressed,Data suppressed,null
HIV prevalence,2014,Monroe County ,Tennessee,47123,62.5,24,"38,388"
HIV prevalence,2014,Montgomery County ,Tennessee,47125,151.7,229,"150,907"
HIV prevalence,2014,Moody County ,South Dakota,46101,Data suppressed,Data suppressed,null
HIV prevalence,2014,Moore County ,Tennessee,47127,Data suppressed,Data suppressed,null
HIV prevalence,2014,Morgan County ,Tennessee,47129,132.8,25,"18,828"
HIV prevalence,2014,Newport County ,Rhode Island,44005,143.2,103,"71,910"
HIV prevalence,2014,Obion County ,Tennessee,47131,95.6,25,"26,162"
HIV prevalence,2014,Overton County ,Tennessee,47133,59.3,11,"18,546"
HIV prevalence,2014,Pennington County ,South Dakota,46103,Data suppressed,Data suppressed,null
HIV prevalence,2014,Perkins County ,South Dakota,46105,Data suppressed,Data suppressed,null
HIV prevalence,2014,Perry County ,Tennessee,47135,90.5,6,"6,628"
HIV prevalence,2014,Pickett County ,Tennessee,47137,Data suppressed,Data suppressed,null
HIV prevalence,2014,Polk County ,Tennessee,47139,62.6,9,"14,366"
HIV prevalence,2014,Potter County ,South Dakota,46107,Data suppressed,Data suppressed,null
HIV prevalence,2014,Providence County ,Rhode Island,44007,336.3,"1,806","537,059"
HIV prevalence,2014,Putnam County ,Tennessee,47141,122,77,"63,111"
HIV prevalence,2014,Rhea County ,Tennessee,47143,47.6,13,"27,338"
HIV prevalence,2014,Roane County ,Tennessee,47145,50.4,23,"45,674"
HIV prevalence,2014,Roberts County ,South Dakota,46109,Data suppressed,Data suppressed,null
HIV prevalence,2014,Robertson County ,Tennessee,47147,143.1,80,"55,896"
HIV prevalence,2014,Rutherford County ,Tennessee,47149,155.3,368,"237,027"
HIV prevalence,2014,Sanborn County ,South Dakota,46111,Data suppressed,Data suppressed,null
HIV prevalence,2014,Scott County ,Tennessee,47151,38.6,7,"18,157"
HIV prevalence,2014,Sequatchie County ,Tennessee,47153,40.2,5,"12,447"
HIV prevalence,2014,Sevier County ,Tennessee,47155,58.2,47,"80,701"
HIV prevalence,2014,Shannon County ,South Dakota,46113,Data suppressed,Data suppressed,null
HIV prevalence,2014,Shelby County ,Tennessee,47157,664.8,"5,091","765,768"
HIV prevalence,2014,Smith County ,Tennessee,47159,119.6,19,"15,884"
HIV prevalence,2014,Spink County ,South Dakota,46115,Data suppressed,Data suppressed,null
HIV prevalence,2014,Stanley County ,South Dakota,46117,Data suppressed,Data suppressed,null
HIV prevalence,2014,Stewart County ,Tennessee,47161,52.9,6,"11,333"
HIV prevalence,2014,Sullivan County ,Tennessee,47163,82.2,111,"135,036"
HIV prevalence,2014,Sully County ,South Dakota,46119,Data suppressed,Data suppressed,null
HIV prevalence,2014,Sumner County ,Tennessee,47165,120.7,173,"143,332"
HIV prevalence,2014,Tipton County ,Tennessee,47167,145.4,74,"50,903"
HIV prevalence,2014,Todd County ,South Dakota,46121,Data suppressed,Data suppressed,null
HIV prevalence,2014,Tripp County ,South Dakota,46123,Data suppressed,Data suppressed,null
HIV prevalence,2014,Trousdale County ,Tennessee,47169,193.6,13,"6,714"
HIV prevalence,2014,Turner County ,South Dakota,46125,Data suppressed,Data suppressed,null
HIV prevalence,2014,Unicoi County ,Tennessee,47171,90,14,"15,562"
HIV prevalence,2014,Union County ,South Dakota,46127,Data suppressed,Data suppressed,null
HIV prevalence,2014,Union County ,Tennessee,47173,Data suppressed,Data suppressed,null
HIV prevalence,2014,Van Buren County ,Tennessee,47175,102.7,5,"4,870"
HIV prevalence,2014,Walworth County ,South Dakota,46129,Data suppressed,Data suppressed,null
HIV prevalence,2014,Warren County ,Tennessee,47177,87.2,29,"33,238"
HIV prevalence,2014,Washington County ,Rhode Island,44009,64.7,72,"111,343"
HIV prevalence,2014,Washington County ,Tennessee,47179,171.9,186,"108,225"
HIV prevalence,2014,Wayne County ,Tennessee,47181,74.5,11,"14,772"
HIV prevalence,2014,Weakley County ,Tennessee,47183,40.8,12,"29,437"
HIV prevalence,2014,White County ,Tennessee,47185,99,22,"22,218"
HIV prevalence,2014,Williamson County ,Tennessee,47187,78.3,130,"165,965"
HIV prevalence,2014,Wilson County ,Tennessee,47189,97,101,"104,138"
HIV prevalence,2014,Yankton County ,South Dakota,46135,Data suppressed,Data suppressed,null
HIV prevalence,2014,Ziebach County ,South Dakota,46137,Data suppressed,Data suppressed,null
HIV diagnoses,2014,Adair County ,Oklahoma,40001,Data suppressed,Data suppressed,"17,957"
HIV diagnoses,2014,Adams County ,Ohio,39001,Data suppressed,Data suppressed,"23,285"
HIV diagnoses,2014,Adams County ,Pennsylvania,42001,Data suppressed,Data suppressed,"87,178"
HIV diagnoses,2014,Alfalfa County ,Oklahoma,40003,Data suppressed,Data suppressed,"4,980"
HIV diagnoses,2014,Allegheny County ,Pennsylvania,42003,11.8,126,"1,065,793"
HIV diagnoses,2014,Allen County ,Ohio,39003,6.8,6,"87,661"
